ID,SENDER,RECEIVER,FROM,LAT_LON_1,TO,LAT_LON_2,KEYWORDS 1,KEYWORDS 2,KEYWORDS 3,KEYWORDS 4,KEYWORDS 5,KEYWORDS 6,DATE,TYPE
1,King William,Lord Melville,Hampton Court,"51.403332, -0.337500",London,"51.50673486004276, -0.12083646321188168",war,castles,invasion,religion,,,3/7/1689,"Instructions"
2,King William,Convention,Hampton Court,"51.403332, -0.337500",London,"51.50673486004276, -0.12083646321188168",war,Scotland,Presbyterian,safety,,,3/7/1689,"Instructions"
3,Sir James Dalrymple of Stair,Lord Melville,London,"51.50673486004276, -0.12083646321188168",London,"51.50673486004276, -0.12083646321188168",money,Ireland,invasion,Convention,Scotland,,3/23/1689,"Letter"
4,Sir James Dalrymple of Stair,Lord Melville,London,"51.50673486004276, -0.12083646321188168",London,"51.50673486004276, -0.12083646321188168",Ireland,invasion,Scotland,Derry,Church,,3/27/1689,"Letter"
5,Sir James Dalrymple of Stair,Lord Melville,London,"51.50673486004276, -0.12083646321188168",London,"51.50673486004276, -0.12083646321188168",danger,settlement,Scotland,Ross,,,3/30/1689,"Letter"
6,Earl of Portland,Lord Melville,Hampton Court,"51.403332, -0.337500",London,"51.50673486004276, -0.12083646321188168",church,Scotland,hazard,coast,,,4/1/1689,"Letter copy"
7,Sir James Dalrymple of Stair,Lord Melville,Ham,"51.36421, -1.52739",London,"51.50673486004276, -0.12083646321188168",Scotland,Ireland,Derry,church,,,4/5/1689,"Letter"
8,Sir James Dalrymple of Stair,Lord Melville,Ham,"51.36421, -1.52739",London,"51.50673486004276, -0.12083646321188168",Irish,Scots,MacKay,invasion,churchmen,,4/9/1689,"Letter"
9,Sir James Dalrymple of Stair,Lord Melville,London,"51.50673486004276, -0.12083646321188168",London,"51.50673486004276, -0.12083646321188168",coronation,Scotland,Ireland,invasion,allegiance,,4/11/1689,"Letter"
10,Duke of Queensberry,King William,Edinburgh,"55.948889, -3.190556",Hampton Court,"51.403332, -0.337500",Convention,Protestant,Crown,security,,,4/13/1689,"Letter"
11,Marquis of Atholl,King William,Edinburgh,"55.948889, -3.190556",Hampton Court,"51.403332, -0.337500",Protestant,religion,petition of right,justice,,,4/13/1689,"Letter"
