People_ID,People_Label,Weight,Full name,Loyalty,Position
1,Melville ,510/ 593,"George Melville, Earl of Melville",Williamite,Secretary of State for Scotland
2,Hamilton ,55/593,"William Hamilton, Duke of Hamilton",Williamite,High Commissioner for Scotland
3,King William ,43/593,"Willem Hendrick, Prince of Orange-Nassau",Williamite,"King of England, Ireland, and Scotland"
4,James Dalrymple,17/ 593,Sir James Dalrymple of Stair ,Williamite,Principal Advisor on Scottish Affairs
5,John Dalrymple ,44/ 593 ,Sir John Dalrymple of Stair ,Williamite,Lord Advocate
6,Crawford,88/593,"William Lindsay, Earl of Crawford",Williamite,President of Session
7,Portland,9/593,"Willem Bentick, Earl of Portland",Williamite,Principal Advisor to the King
8,Queensberry,2/593,"James Douglas, Duke of Queensberry",Williamite,
9,Dundee,2/593,"John Graham of Claverhouse, Viscount of Dundee",Jacobite,Jacobite Military General
10,Mar,1/593,"Charles Erskine, Earl of Mar",Jacobite,Jacobite Commissoner
11,Atholl,7/ 593 ,"John Murray, Marquess of Atholl",Jacobite,Parliamentray commissioner
12,James Stewart ,3/593,Sir James Stewart ,Williamite,Lord Advocate
13,Polwarth,20/ 593 ,"Sir Patrick Hume of Polwarth, Earl of Marchmont",Williamite,Military General
14,Mackenzie ,4/ 593,George MacKenzie of Rosehaugh,Jacobite,
15,Viscount Tarbat ,38/593 ,"George MacKenzie, Earl of Cromarty",Jacobite,
16,Hay of Park ,4/593,John Hay of Park ,Williamite,
17,Lady Auchinbreck ,1/593,Harriet Campbell? Lady Auchinbreck,Williamite,
18,David Nairne,6/ 593,Mr. David Nairne,Jacobite,
19,Eglinton ,3/593,"Alexander Montgomerie, Earl of Eglinton",Williamite,
20,Lockhart ,39/593,Sir William Lockhart ,Williamite,Solicitor General for Scotland
21,Belhaven,1/593,"John Hamilton, Lord Belhaven",Williamite,
22,Kennedy of Cloburne ,2/593,Andrew Kennedy of Cloburne ,Williamite,Commissioner of Supply for Lanark
23,Lady Polwarth ,2/593,Grizel Hume? Lady Polwarth,Williamite,
24,Lothian ,6/593,"Robert Kerr, Earl of Lothian",Williamite,
25,Anderson of Dowhill ,2/593,John Anderson of Dowhill ,Williamite,Provost of Glasgow
26,Argyll ,8/593,"Archibald Campbell, Earl of Argyll",Williamite,
27,Balcarres ,1/593,"Colin Lindsay, Earl of Balcarres",Jacobite,Advisor for King James
28,Ross ,6/ 593,"William Ross, Lord Ross",Williamite,"Club, conspirator"
29,Baird of Newbyth ,1/593,Sir John Baird of Newbyth ,Williamite,Commissioner for Aberdeenshire
30,Elliot ,7/593,Mr. Gilbert Elliot,Williamite,Advocate
31,Countess of Balcarres,1/593,"Margaret Lindsay, Countess Balcarres",Jacobite,
32,Blantyre ,1/593,"Alexander Stewart, Lord Blantyre",Williamite,Militia Officer for Renfrewshire
33,Stewart of Coltness,1/593,Sir Thomas Stewart of Coltness,Williamite,Burgh commissioner for North Berwick
34,Murray ,6/593,"Sir James Murray, Lord Philliphaugh",Williamite,Lord of the Session; Commissioner for Supply
35,Captain Johnston ,1/593,Captain John Johnston,Jacobite,Military Captain
36,Cardross ,13/593,"Henry Erskine, Lord Cardross",Williamite,Parliamentary Commissioner
37,Countess of Mar ,1/593,"Margaret Erskine, Countess of Mar",Jacobite,
38,Queen Mary ,18/593,"Mary Stuart, Princess of Orange",Williamite,King William's Wife & Queen
39,Skelmorlie,4/593,Sir James Montgomery of Skelmorlie,Williamite,Commissioner for Ayrshire
40,Blair ,1/ 593,Sir Adam Blair,Jacobite,Vinter
41,Mackay ,5/593,Major General Hugh Mackay,Williamite,Commander-in-Chief of Armed Forces
42,Leven ,16/593,"David Melville, Earl of Leven",Williamite,Military General
43,Colonel Balfour ,1/593,Colonel Bartholemew Balfour,Williamite,Military General
44,Denham ,3/593,"William Denham of Westfield, London",Williamite,
45,James Melville ,4/593,Mr. James Melville ,Williamite,Melville's fourth son
46,Anstruther ,5/593,William Anstruther of Anstruther,Williamite,Commissioner for Fife
47,The Privy Council ,19/593,,Williamite,
48,Officers of Dumbarton's Regiment,1/593,-,Jacobite,Prisoners at Bury
49,Cassillis ,3/593,"John Kennedy, Earl of Cassillis",Williamite,"Privy Council Member, Lord of Treasury"
50,Cunningham,1/593,William Cunningham,Williamite,
51,Council in Relation to ministers,1/593,-,Williamite,
52,Mr. Graham ,1/593,,Jacobite,Vinter
53,Mr. John Law,1/593,,Williamite,church minister
54,Mr. Alexander Pitcairne,1/593,Mr. Alexander Pitcairne,Williamite,Minister for the Church of Scotland
55,Blackbarrony,1/593,Sir Archibald Murray of Blackbarrony,Williamite,Parliamentary Commissioner and Privy Council Member
56,Douglas ,1/593,"James Douglas, Marquess of Douglas",Williamite,Parliamentary Commissioner and Privy Council Member
57,Dunbar of Grange ,1/593,Mr. Thomas Dunbar of Grange ,Williamite,Parliamentary Commissioner 
58,Buchan ,1/593 ,Lieutenant-Colonel Thomas Buchan,Jacobite,Jacobite General
59,Swinton ,1/593,"Alexander Swinton, Lord Mersington",Williamite,Lord of the Session
60,Livingston of Kilsyth,1/593,Mr. William Livingston of Kilsyth,Williamite,Lord of the Session
