SENDER,RECEIVER,TYPE,DATE,KEYWORDS
3,1,Instructions,3/7/1689,"war, castles, invasion, religion"
3,108,Instructions,3/7/1689,"war, Scotland, Presbyterian, safety"
4,1,Letter,3/23/1689,"money, Ireland, invasion, Convention, Scotland"
4,1,Letter,3/27/1689,"Ireland, invasion, Scotland, Derry, Church"
4,1,Letter,3/30/1689,"danger, settlement, Scotland, Ross"
7,1,Letter copy,4/1/1689,"church, Scotland, hazard, coast"
4,1,Letter,4/5/1689,"Scotland, Ireland, Derry, church,"
4,1,Letter,4/9/1689,"Irish, Scots, MacKay, invasion, churchmen"
4,1,Letter,4/11/1689,"coronation, Scotland, Ireland, invasion, allegiance"
8,3,Letter,4/13/1689,"Convention, Protestant, Crown, security"
11,3,Letter,4/13/1689,"Protestant, religion, petition of right, justice"
9,123,Letter,4/21/1689,Major Graham
4,1,Letter,4/21/1689,"Portland, Mackay, royal proclamation"
3,1,Royal Exoneration,4/25/1689,"Scotland, Convention, Highlanders, Mackay, Ireland"
7,41,Letter,Unknown (between April 25-30),"Scotland, Argyll, Londonderry, Ireland"
2,3,Letter,4/30/1689,"Estates, Parliament, peace"
1,2,Letter,5/15/1689,"secretary, Portsmouth, Convention, Scotland, informer"
10,1,Letter,5/18/1689,"service, interest, Portland, Kin, Court"
2,1,Letter,5/20/1689,"Perth, Ireland, Scotland, Dundee, Mackay"
2,1,Letter,5/21/1689,"Privy Council, Great Seal, Parliament"
11,1,Letter,5/21/1689,"distracted kingdom, solicit, friendship"
6,1,Opinion,5/23/1689,"public interest, friendship, honor"
12,1,Letter,5/24/1689,"Presbyterians, King's interest, Tarbat, Ireland"
12,1,Letter,5/24/1689,"God, King, mistakes, friendship"
2,3,Letter,5/25/1689,"Privy Council, Estates, Parliament, divisions"
2,1,Letter,5/25/1689,"Dundee, Mackay, regiments, mistakes"
1,2,Letter,5/27/1689,"Estates ajourned, King's service"
13,1,Letter,5/27/1689,"country, debate, strife, Dukes"
6,1,Letter,5/28/1689,"public interest, God, friendship,"
2,1,Letter,5/30/1689,"magazines, powder, arms"
14,1,Letter,5/31/1689,"Parliament, bigotry, Tarbat, Scotland, King"
1,6,Letter,5/31/1689,"honor, interest, nation"
2,1,Letter,6/1/1689,"securing the nation, Tarbat, Mackay"
13,1,Letter,6/1/1689,"friendship, reputation, honesty, God"
15,1,Letter,6/1/1689,"enemies, ecclesiastics, Scotland, Highlanders"
15,1,Letter,6/1/1689,"Mackay, Highlanders, Scotland, security, invasion, rebellion"
2,1,Letter,6/4/1689,"nominations, council, commissioners, Dundee, Mackay"
6,1,Letter,6/4/1689,"weakness, grateful, appointment"
16,1,Letter,6/4/1689,"Tarbat, military affairs, oppressions"
13,1,Letter,6/6/1689,"Lockhart, favor, friendship, security"
2,1,Letter,6/6/1689,"Great Seall, Estates, Parliament"
17,1,Letter,6/6/1689,"husband, condition, mercy, Argyll"
13,1,Letter,6/7/1689,"estates, Scotland, Claim of Right"
1,2,Letter,6/8/1689,"Schomberg, Mackay, war, King, service"
2,1,Letter,6/8/1689,"Mackay, Ireland, intelligence, French fleet, Dundee"
11,1,Letter,6/8/1689,"health, service, Scotland"
6,1,Letter,6/11/1689,"safety, Parliament, issues"
123,9,Letter,6/11/1689,"Dundee, brother, prison"
18,42,Letter,6/11/1689,"officiating, King, favor"
1,13,Letter,6/13/1689,"friendship, truth, public, trust"
1,43,Letter,6/13/1689,"Edinburgh Castle, Mackay, intelligence"
2,1,Letter,6/14/1689,"Mackay, Edinburgh Castle, Gordon, parliament"
1,11,Letter,6/14/1689,"Hamilton, King William, service"
2,1,Letter,6/18/1689,"Parliament, allegiance, service, Great Seal, navy, portmaster"
19,1,Letter,6/18/1689,"honor, regiments, station"
20,1,Letter,6/18/1689,"Parliament, Articles, debate, Lord Stair"
5,1,Letter,6/18/1689,"Articles, Club, King, prerogative"
1,2,Letter,6/18/1689,"Mackay, Ireland, France"
18,42,Letter,6/18/1689,"castle, parliament, judges"
5,1,Letter,6/20/1689,"articles, allegiance, attendance, Club"
21,1,Letter,6/20/1689,"North, Holland, Protestant religion"
20,1,Letter,6/20/1689,"Great Seall, King, prerogative, Skelmorlie"
22,44,Letter,6/22/1689,"Articles, officers, state, King, prerogative"
2,1,Letter,6/23/1689,"Kirke, Rooke, Londonderry, service"
23,1,Letter,6/24/1689,"service, interest, Lady Hilton"
23,1,Letter,6/24/1689,"Lady Hilton, children, beggars"
16,1,Letter,6/24/1689,"trouble, enemies, honor"
2,1,Letter,6/25/1689,"warfare, affairs, parliament"
24,1,Letter,6/25/1689,"King, service, present, danger"
6,1,Letter,6/25/1689,"Hamilton, displeasure, parliament, commissions"
5,1,Letter,6/25/1689,"articles, Scotland, Club, Hamilton, Presbyterians"
"25, 111",1,Letter,6/25/1689,"Glasgow, public, safety, elections"
26,1,Letter,6/26/1689,"brother, revolution, cause"
5,1,Letter,6/26/1689,"grievances, church, government, Secretary, war"
2,1,Letter,6/27/1689,"articles, parliament, church affairs"
11,1,Letter,6/27/1689,"service, false stories, Protestant religion"
6,1,Letter,6/27/1689,"animosity, parliament, presbytery, Presbyterian, crown"
27,1,Letter,6/27/1689,"imprisonment, Dundee, liberty, prison"
28,1,Letter,6/27/1689,"crown, Dalrymple, committees, parliament"
