"From Type","From Name","Edge Type","To Type","To Name","Weight","From ID","Edge Type ID","To ID","Edge ID"
"Group","Langton & William Anderson","Deposition","Organization","Privy Council","1","8fec8c58-ac8b-44ff-ac98-2e00223eaa75","7b253dbb-d971-410c-ba93-f9057977679d","1179f9d8-9e90-4a4f-8aaf-921cb62784da","66ae17a2-92e7-46d1-8690-90c517d7ef81"
"Group","John Chapel, John Price & Richard Morris","Discovery","Person","Melville","1","805f78a9-4b21-44e2-a760-85276970ab98","e4ba6477-607c-464e-98cc-5f8d40adfa0d","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","7e440587-f062-496e-a4c8-23a351b4c294"
"Group","James Garden, Alexander Leask & John Forbes","Petition","Person","King William","1","84c17d8e-4f2d-4a27-9c00-ef90e0c6c4ce","4701a97e-36d5-4bfd-b701-de6055e0606f","3ad03413-7968-4e9e-97d9-67f379b665d7","98f7d297-62fe-4fe5-81b5-024270006e3a"
"Person","John McNaughton","Warrant","Place","Duart Castle","1","eb940167-258f-4372-b32f-f935a3ae40e7","41eafcc6-6a0a-4e00-8214-355625c492ee","e1c06a86-db22-49bc-996e-e6b111feeecc","f4b2eb15-52c7-4a94-84a1-7792ae576fa2"
"Group","Ministers in London","Address","Organization","Church of Scotland","1","1bea825b-a630-4725-8460-d0b4ecab0b39","750421fe-41c9-4ff1-a5fc-ef40ee89f2f9","65341a23-fb27-4c2c-bb94-ca0f00be7280","a6327a96-7708-41f4-a25e-259a5f6052ab"
"Person","Melville","List of prisoners","Organization","Parliament","1","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","5b6a3e51-ccb1-424c-86f5-d5fe2d076c2e","94a6fd18-525a-4e04-a4e4-cee35be788ae","e0fc349d-7e68-4537-aadc-ccda3f04781e"
"Organization","Privy Council","Oath","Person","King William","1","1179f9d8-9e90-4a4f-8aaf-921cb62784da","1f0ffa77-1a40-40ac-ae19-8187f9df1f13","3ad03413-7968-4e9e-97d9-67f379b665d7","59a4d2c3-f6f2-4ed4-b7b4-4ab9207594f3"
"Person","Hugh Campbell of Cawdor","Pass","Person","Alexander Kennedy","1","e50906e8-ac85-4ee8-9afe-3cb56525bad6","2ce940d4-b792-4159-b2e1-fdafda72f44c","a53de455-8330-4f95-94d2-053b333d12b9","c8cde9fe-dcc2-4a55-9eab-55ec6cae5e27"
"Person","Unknown","Pamphlet","Person","Melville","1","51499f34-96db-46f3-b28a-c007cb43b8f2","4cf11f6f-42d2-4f22-bc4c-8cd99bc62444","0b55da92-ed12-4946-a58a-e9e4ebbc3fdc","d6375704-3f75-4d61-9d6e-e1b21c3fbb1a"
"Organization","Privy Council","Examination","Group","Col. Livingston's Dragoons","1","1179f9d8-9e90-4a4f-8aaf-921cb62784da","475f2a04-5606-45e0-b1f0-eec323690148","943b904e-90d4-4dbe-a56b-9bde4c18d44a","39f0cc39-1272-4521-b124-b2ed6999c8ca"
"Organization","Privy Council","Examination","Group","Crew of ""Mary"" of Glasgow","1","1179f9d8-9e90-4a4f-8aaf-921cb62784da","475f2a04-5606-45e0-b1f0-eec323690148","22b397c9-322a-4606-bbe2-9a6ebc84db13","5b7adca1-e5c3-4954-9eff-1b96d0752fe3"
"Group","Ministers, Espiscopal Persuasion","Petition","Organization","Commission of the Church of Scotland","1","718b84a1-ae3a-4a49-9856-f9acc746c606","3dab595a-9b3c-4448-aef9-24fc394fafbd","efeb463a-25b8-43e1-9c44-ec1f4544fb21","83c52865-2e95-447b-b934-b4632a7603b8"
"Group","Lord Yester & Heritors and Parishoners of Dunfermline","Petition","Organization","Privy Council","1","004f6147-aca2-4f1e-82bc-93dab99d1afc","3dab595a-9b3c-4448-aef9-24fc394fafbd","1179f9d8-9e90-4a4f-8aaf-921cb62784da","3f6b2033-0a9d-4789-8923-149e77ac5410"
"Group","Magistrates & Council of Edinburgh","Petition","Organization","Privy Council","1","78207d9c-d6fb-4cfb-b765-9c6b3eac0d12","3dab595a-9b3c-4448-aef9-24fc394fafbd","1179f9d8-9e90-4a4f-8aaf-921cb62784da","f90c51c2-71bb-4ddc-adfd-607c831c8c17"
"Group","Commissioners of Supply for Renfrewshire","Petition","Organization","Privy Council","1","bfffdb64-fa4f-422e-9a42-4d727c650d06","3dab595a-9b3c-4448-aef9-24fc394fafbd","1179f9d8-9e90-4a4f-8aaf-921cb62784da","22c11712-c863-48c7-b404-b5b84cf5e117"
"Group","Bombardiers & Miners","Petition","Organization","Privy Council","1","3800602b-224f-4177-a2b1-56d0ecc6fac6","3dab595a-9b3c-4448-aef9-24fc394fafbd","1179f9d8-9e90-4a4f-8aaf-921cb62784da","3b2db398-4411-4f17-ae59-f2234aa5ef70"
"Person","King William","Instructions","Organization","Convention of Estates","1","3ad03413-7968-4e9e-97d9-67f379b665d7","4b7875ef-8f3a-4b0e-bc11-99804d6bc4e9","1d3396e9-da63-4e84-a95e-feb4dbd0fc45","ce38d274-e3a9-4fa3-9add-2079354ecb89"
"Person","King James","Instructions","Organization","Parliament","1","b550cdd1-7f1d-4332-8fc1-b31c62a7ad11","4b7875ef-8f3a-4b0e-bc11-99804d6bc4e9","94a6fd18-525a-4e04-a4e4-cee35be788ae","47696f0f-4315-4ccf-8632-e0285db4037b"
"Ship","Swallow","Memorandum","Person","Hamilton","1","f3a9864d-f5c9-4b78-ab41-5e302de3b869","e414842f-0b31-404c-853a-ea555aa1a5fa","d35060fe-af98-4b3f-b4cb-2e71bea6b1ae","a4009f39-9687-422a-8bdc-d6814d23d9f6"
