Place Type,Location,"Lat, Long",Weight
City,London,"51.50673486004276, -0.12083646321188168",149
Village,Althrope,"52.28030002238975, -1.0015690158710147",4
City,Edinburgh,"55.948889, -3.190556",104
Castle,Bonhard,"56.41628189811223, -3.3812778745459653",1
Castle,Dublin Castle,"53.343007774364885, -6.267396216316814",4
City,Salisbury,"51.068174460157366, -1.7929143672762355",5
Market Town,Warminster,"51.204947384284196, -2.183921217936426",1
Town,Amesbury,"51.16755234927525, -1.7593330739614792",1
Town,Andover,"51.21118148513167, -1.489555692851676",1
Market Town,Beaconsfield,"51.60374394071374, -0.6312509228351096",1
Royal Residence,Whitehall,"51.505167668372145, -0.12656794527282472",16
Town,Sandon,"51.71533765133831, 0.5238151837614113",7
Island,Nevis,"17.137289843646567, -62.62508140841122",2
Town,"Aghabane, Ireland","54.023492901382795, -7.55714265353007",1
Residence,Kinneil,"56.007609272784535, -3.6343233882109436",10
Residence,Hamilton House,"55.77775319668508, -4.054903184813953",1
,Beill,,1
Town,Ingestre,"52.81926244938447, -2.029638017376205",2
Residence,Holyrood House,"55.95283390952349, -3.172401148681774",67
Town,Kelso,"55.59998896267406, -2.432179323296691",1
Residence,Holland House,"55.93853289742818, -3.167178121841442",1
City,Dublin,"53.35044641782517, -6.249835304533681",8
Town,"Saint-Ford, France","47.7983, -0.7203",1
City,"Kilkenny, Ireland","52.65552043116917, -7.2444216882194175",1
Port Town,Leith,"55.9758493896075, -3.166036942321605",1
Port Town,Campbelltown,"55.427136579782484, -5.60487445868414",2
Town,Inverary,"56.232647677788286, -5.072666869815566",6
Ship,"Adventor, Machrihanish Bay","55.42277318645769, -5.734083002753708",1
Village,Kilberry,"53.71046172899629, -6.682286962545089",1
City,Glasgow,"55.86421325800581, -4.242082144325565",8
Village,Glensadal,"55.68753323608709, -6.239493975655569",1
Ship,"Cleveland, Hoylake Road ","53.40102982411348, -3.1170029046786434",1
Body of Water,Londonderry Loch,"55.15140445265579, -6.9427190651385455",1
Ship,"Cleveland, Bangor Bay","54.666598338012044, -5.668459395859482",
City,Londonderry,"55.00064753331643, -7.299983165820393",1
Port Town,Portpatrick,"54.84260121106591, -5.115717034519668",
