From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Duchess of Hamilton,WROTE LETTER TO,Person,Unknown,c 1690,,GD406/1/3049
Person,Sunderland,WROTE LETTER TO,Person,Arran,"1690, May 24",,GD406/1/3189
Person,Charles Spencer,WROTE LETTER TO,Person,Arran,"1692, Oct 24",,GD406/1/3213
Person,George MacKenzie,WROTE LETTER TO,Person,Arran,c 1691,,GD406/1/3363
Person,Breadalbane,WROTE LETTER TO,Person,Arran,"1690, May 8",,GD406/1/3371
Person,Unknown,WROTE LETTER TO,Person,Hamitlon,"1688, Oct 27",,GD406/1/3388
Person,John Hamilton,WROTE LETTER TO,Person,Hamilton,"1688, Aug 7",,GD406/1/3389
Person,Walter Cornwall,WROTE LETTER TO,Person,Hamilton,"1689, Oct 7",,GD406/1/3390
Person,J. Macleane,WROTE LETTER TO,Person,Hamilton,"1689, Aug 12",,GD406/1/3391
Person,Melfort,WROTE LETTER TO,Person,Unknown,"1689, Apr 3",,GD406/1/3392
Person,Feversham,WROTE LETTER TO,Person,Major General Kirk,"1688, Nov 4",,GD406/1/3393
Person,Feversham,WROTE LETTER TO,Person,Arran,"1688, Nov 14",,GD406/1/3394
Person,Feversham,WROTE LETTER TO,Person,Major General Kirk,"1688, Nov 14",,GD406/1/3395
Person,Feversham,WROTE LETTER TO,Person,Arran,"1688, Nov 18",,GD406/1/3396
Person,Feversham,WROTE LETTER TO,Person,Arran,"1688, Nov 24",,GD406/1/3397
Person,Feversham,WROTE LETTER TO,Person,Arran,"1688, Nov 25",,GD406/1/3398
Person,Feversham,WROTE LETTER TO,Person,Arran,"1688, Dec 10",,GD406/1/3399
Person,Feversham,WROTE LETTER TO,Person,Lichfield's regiment and Arran's regiment,"1688, Dec 12",,GD406/1/3400
Person,King James,WROTE LETTER TO,Person,Feversham,"1688, Dec 10",,GD406/1/3401
Person,Unknown,WROTE LETTER TO,Person,Madam Harcourt,"1689, Nov 16",,GD406/1/3402
Person,H. Peyre,WROTE LETTER TO,Person,Mr. Billott,"1689, Jan 29",,GD406/1/3403
Person,Unknown,WROTE LETTER TO,Person,Mrs. Martha Ward,"1689, Feb 5",,GD406/1/3404
Person,Thomas Moncrieffe,WROTE LETTER TO,Person,Hamilton,"1689, Feb 7",,GD406/1/3405
Person,W. Hamilton,WROTE LETTER TO,Person,Cap. James Hamilton,"1689, Feb 20",,GD406/1/3407
Person,W. Hamilton,Account,Person,Arran,"1690, Feb 20",,GD406/1/3408
