From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,Duchess of Hamilton,,WROTE LETTER TO,Person,Unknown,,c 1690,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3049
Person,Sunderland,London,WROTE LETTER TO,Person,Arran,,"1690, May 24",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3189
Person,Charles Spencer,Althrop,WROTE LETTER TO,Person,Arran,,"1692, Oct 24",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3213
Person,George MacKenzie,,WROTE LETTER TO,Person,Arran,,c 1691,,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3363
Person,Breadalbane,Edinburgh,WROTE LETTER TO,Person,Arran,,"1690, May 8",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3371
Person,Unknown,Edinburgh,WROTE LETTER TO,Person,Hamitlon,,"1688, Oct 27",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3388
Person,John Hamilton,Edinburgh,WROTE LETTER TO,Person,Hamilton,,"1688, Aug 7",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3389
Person,Walter Cornwall,Bonhard,WROTE LETTER TO,Person,Hamilton,,"1689, Oct 7",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3390
Person,J. Macleane,Edinburgh,WROTE LETTER TO,Person,Hamilton,,"1689, Aug 12",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3391
Person,Melfort,Dublin Castle,WROTE LETTER TO,Person,Unknown,,"1689, Apr 3",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3392
Person,Feversham,Salisbury,WROTE LETTER TO,Person,Major General Kirk,,"1688, Nov 4",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3393
Person,Feversham,Salisbury,WROTE LETTER TO,Person,Arran,,"1688, Nov 14",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3394
Person,Feversham,Salisbury,WROTE LETTER TO,Person,Major General Kirk,,"1688, Nov 14",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3395
Person,Feversham,Salisbury,WROTE LETTER TO,Person,Arran,,"1688, Nov 18",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3396
Person,Feversham,Salisbury,WROTE LETTER TO,Person,Arran,,"1688, Nov 24",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3397
Person,Feversham,Salisbury,WROTE LETTER TO,Person,Arran,,"1688, Nov 25",,Correspondence of the Dukes of Hamilton and Brandon,GD406/1/3398
