Edge Type,From Location,To Location,Date
Letter,,,1690
Letter,London,,"1690, May 24"
Letter,Althrop,,"1692, Oct 24"
Letter,,,"1,691"
Letter,Edinburgh,,"1690, May 8"
Letter,Edinburgh,,"1688, Oct 27"
Letter,Edinburgh,,"1688, Aug 7"
Letter,Bonhard,,"1689, Oct 7"
Letter,Edinburgh,,"1689, Aug 12"
Letter,Dublin Castle,,"1689, Apr 3"
Letter,Salisbury,,"1688, Nov 4"
Letter,Salisbury,Warminster,"1688, Nov 14"
Letter,Salisbury,Ambersbury,"1688, Nov 14"
Letter,Salisbury,,"1688, Nov 18"
Letter,Salisbury,,"1688, Nov 24"
Letter,Andover,,"1688, Nov 25"
Letter,Beaconsfield,,"1688, Dec 10"
Letter,London,,"1688, Dec 12"
Letter,Whitehall,London,"1688, Dec 10"
Letter,,Sandon,"1689, Nov 16"
Letter,,Sandon,"1689, Jan 29"
Letter,,Sandon,"1689, Feb 5"
Letter,Edinburgh,,"1689, Feb 7"
Letter,Nevis,,"1689, Feb 20"
Account,,,"1690, Feb 20"
Letter,Edinburgh,"Aghabane, Ireland","1689, Mar 8"
Letter,London,Edinburgh,"1689, May 2"
Letter,Edinburgh,,"1689, Jun 25"
Letter,London,,"1689, Aug 13"
Letter,Kinneil,,"1689, Aug 24"
Letter,,Hamilton's Lodgings,"1689, Sep 14"
Letter,,,"1690, Jan 20"
Letter,Edinburgh,,"1688, Mar 17"
Letter,Edinburgh,,"1688, Oct 6"
Letter,Edinburgh,,"1688, Mar 8"
Letter,Edinburgh,,"1688, Oct 4"
Letter,Edinburgh,,"1690, Mar 15"
Letter,Edinburgh,,"1690, Feb 20"
Letter,Edinburgh,,"1690, Mar 10"
Letter,Beill,,"1688, May 8"
Letter,Edinburgh,,"1688, Feb 25"
Letter,Edinburgh,,"1688, Mar 6"
Letter,Edinburgh,,"1688, Mar 22"
Letter,Edinburgh,,"1688, Feb 19"
Letter,Edinburgh,,"1688, Jan 28"
Letter,Ingestre,,"1688, Jun 16"
Letter,,,1688
Letter,Edinburgh,,"1688, Feb 7"
Letter,Edinburgh,,"1688, Jan 5"
Letter,,,"1688, Jun 24"
Letter,,,"1688, Jun 11"
Letter,,,"1688, Feb 2"
Letter,Whitehall,Holyrood House,"1688, Feb 14"
Letter,Holyrood House,Whitehall,"1688, Feb 21"
Letter,Kelso,Holland House,"1688, Mar 3"
Letter,Edinburgh,,"1688, Mar 20"
Letter,Sandon,,"1688, June"
Letter,Ingestre,,"1688, Jun 16"
Letter,Sandon,,"1688, Jul 9"
Letter,,,"1688, Aug 11"
Letter,Edinburgh,,"1688, Jul 20"
Letter,Edinburgh,,"1688, May 15"
Letter,Edinburgh,London,1688
Letter,Edinburgh,London,"1688, Dec 23"
Letter,Edinburgh,London,"1688, Dec 2"
Letter,Edinburgh,London,"1688, May 15"
Intercepted Letter,Dublin,"St. Foord, Nairne","1689, Mar 29"
Intercepted Letter,Dublin,,"1689, Mar 29"
Intercepted Letter,Dublin,,1689
Intercepted Letter,Killkenny,Leith,"1689, Mar 25"
Intercepted Letter,Dublin,Edinburgh,"1689, Mar 28"
Intercepted Letter,Dublin,,"1689, Mar 28"
Intercepted Letter,Dublin,,"1689, Mar 28"
Letter,Campbeltown,,"1689, Jul 11"
Letter,Campbeltown,,"1689, Jul 11"
Letter,Inverary,,"1689, Jul 13"
Letter,"Adventor, Margtilipanig Bay",Glensadal,"1689, Jul 10"
Letter,Kilberry,,"1689, Jul 11"
Letter,Glasgow,,"1689, Aug 5"
Letter,London,,"1689, Jul 2"
Letter,London,,"1689, Apr 13"
Letter,,,"1689, Jun 3"
Petition,,,"1689, Jun 3"
Letter,"Cleveland, Highlake Road ",,"1689, Aug 12"
Memorandum,Londonderry Loch,,"1689, Jun 19"
Letter,"Cleveland, Bangor Bay",,"1689, Aug 13"
Letter,Londonderry,,"1689, Jul 19"
Letter,,,"1689, Jul 26"
Letter,Portpatrick,,"1689, Jul 28"
Letter,"Swallow, Derry Loch",,"1689, Jun 19"
Letter,Isle of Inch,,"1689, Aug 4"
Letter,"Swallow, Derry Loch",,"1689, Jul 29"
Proclamation,,,"1689, Jul 24"
Letter,"Deptford, Greenock",,"1689, May 11"
Letter,"Deptford, Cape of Kintyre",,"1689, Jul 20"
Letter,"Deptford, Cape of Kintyre",,"1689, Aug 2"
Instructions,"Deptford, Carrickfergus",,"1689, May 4"
Letter,"Deptford, off Islay",,"1689, Jul 30"
Letter,"Deptford, Cape of Kintyre",,"1689, Aug 9"
Letter,"Deptford, Donagadee",,"1689, Aug 13"
Letter,"Deptford, Carrickfergus",,"1689, Aug 26"
Letter,"Deptford, Mouth of Derry Loch ",,"1689, Jun 20"
Letter,,,1689
Letter,Hampton Court,,"1689, May 30"
Letter,London,,"1689, May 16"
Letter,London,,"1689, May 30"
Letter,London,,"1691, Jan 13"
Letter,,,"1691, Jul"
Letter,Hague,,"1691, Oct 16"
Letter,London,,"1692, Mar 3"
Letter,"Camp, Opprobaix",,1692
Letter,London,,"1691, Dec 30"
Letter,St. Gerard,,"1691, Aug 27"
Letter,Hague,,"1691, Feb 13"
Letter,Hague,,1691
Letter,Rotterdam,,"1691, Mar 17"
Letter,Hague,,1691
Letter,"Camp, Portncaple",,"1689, Aug 2"
Letter,Glasgow,,"1689, Aug 5"
Letter,Glasgow,,"1689, Aug 5"
Opinion,Inverary,,"1689, Jul 22"
Letter,,,"1689, Jul 18"
Letter,Inverary,,"1689, Jul 22"
Letter,Inverary,,"1689, Jul 25"
Letter,Inverary,,"1689, Jul 20"
Letter,London,,"1689, May 12"
Letter,Dumbarton,,"1689, Jul 14"
Letter,Puitachie,,"1689, Jun 18"
Letter,Puitachie,,"1689, Aug 5"
Letter,Edinburgh,,"1689, Sep 3"
Letter,Edinburgh,,"1689, Sep 5"
Letter,Edinburgh,,"1689, Aug 27"
Letter,Holyrood House,,"1689, May 20"
Letter,Holyrood House,,"1689, May 21"
Letter,Holyrood House,,"1689, May 25"
Letter,Edinburgh,,"1689, May 30"
Letter,Holyrood House,,"1689, Jun 1"
Letter,Holyrood House,,"1689, Jun 4"
Letter,Holyrood House,,"1689, Jun 6"
Letter,Holyrood House,,"1689, Jun 8"
Letter,Holyrood House,,"1689, Jun 14"
Letter,Holyrood House,,"1689, Jun 18"
Letter,Holyrood House,,"1689, Jun 23"
Letter,Holyrood House,,"1689, Jun 25"
Letter,Holyrood House,,"1689, Jun 27"
Letter,Holyrood House,,"1689, Jul 2"
Letter,Holyrood House,,"1689, Jul 4"
Letter,Holyrood House,,"1689, Jul 6"
Letter,Holyrood House,,"1689, Jul 9"
Letter,Holyrood House,,"1689, Jul 13"
Letter,Holyrood House,,"1689, Jul 18"
Letter,Holyrood House,,"1689, Jul 23"
Letter,Holyrood House,,"1689, Jul 25"
Letter,Holyrood House,,"1689, Jul 29"
Letter,Holyrood House,,"1689, Jul 30"
Letter,Holyrood House,,"1689, Aug 1"
Letter,Holyrood House,,"1689, Aug 3"
Letter,Holyrood House,,"1689, Aug 6"
Letter,Holyrood House,,"1689, Aug 8"
Letter,Holyrood House,,"1689, Aug 13"
