Source,Target,Directed
John Dalrymple,Hamilton,No
John Dalrymple,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
John Dalrymple,Hamilton,No
Melville,Hamilton,No
King James,Major General Buchan,Yes
Portland,Hamilton,No
King William,"Shrewsbury, Halifax, Lord Delamere",Yes
Hamilton,King William,No
King William,Hamilton,No
Hamilton,King William,No
King William,Hamilton,No
King William,Hamilton,No
Hamilton,King William,No
King William,Hamilton,No
Hamilton,King William,No
Hamilton,King William,No
King William,Hamilton,No
King William,Hamilton,No
King William,Hamilton,No
King William,Hamilton,No
Hamilton,King William,No
Queen Mary,Hamilton,No
Hamilton,Queen Mary,No
King James,Dundee,Yes
King James,Balcarres,Yes
King James,Marquis Altholl,Yes
Melfort,Dundee,No
Melfort,Perth,No
Melfort,Balcarres,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
Mackay,Hamilton,No
"Argyll, Skelmorlie",Hamilton,No
Argyll,Hamilton,No
Argyll,Hamilton,No
Argyll,Hamilton,No
Henry Farquar,Argyll,Yes
Argyll,Hamilton,No
Argyll,Hamilton,No
Rooke,Hamilton,No
Kirke,Hamilton,No
Rooke,Hamilton,No
Rooke,Hamilton,No
Kirke,Hamilton,No
Kirke,General of Irish Army,Yes
"George Walker, Jno Michelburne",Kirke,No
Rooke,Kirke,No
Rooke,Kirke,No
Kirke,Hamilton,No
Rooke,Hamilton,No
"Mr. Walker, Governor of Londonderry",Rooke,Yes
Rooke,Hamilton,No
Schomberg,Hamilton,No
Schomberg,Hamilton,No
Rooke ,Hamilton,No
Fullarton,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Mackay,Melville,No
Hamilton,Melville,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Hamilton,Melville,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Melville,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
Hamilton,Melville,No
Hamilton,Melville,No
Melville,Hamilton,No
Melville,Hamilton,No
Melville,Hamilton,No
Melville,Hamilton,No
King William,Privy Council,Yes
Melville,Hamilton,No
King William,Privy Council,Yes
Melville,Hamilton,No
King William,Scottish Parliament,Yes
Melville,Hamilton,No
Melville,Hamilton,No
Melville,Hamilton,No
Hamilton,Melville,No
Shrewsbury,Hamilton,No
John Dalrymple,Hamilton,No
James Dalrymple,Hamilton,No
James Dalrymple,Hamilton,No
John Dalrymple,Hamilton,No
George Mackenzie,Hamilton,No
George Mackenzie,Privy Council,Yes
Master of Forbes,Hamilton,No
Master of Forbes,Hamilton,No
Polwarth,Hamilton,No
Polwarth,Hamilton,No
Polwarth,Hamilton,No
Tweeddale,Hamilton,No
Saltoun,Hamilton,No
Feversham,Kirke,No
Feversham,Arran,No
Feversham,Kirke,No
Feversham,Arran,No
Feversham,Arran,No
Feversham,Arran,No
Feversham,Arran,No
Feversham,Litchfield's Regiment; Arran's Regiment,Yes
King James,Feversham,Yes
Melville,Hamilton,No
Melville,Hamilton,No
Portland,Hamilton,No
Hamilton,Melville,No
Duchess Hamilton,Unknown,No
