Source,Target,Weight,
Unknown,Annandale,2,
Unknown,Archibald Brounlie,1,
Unknown,Dunfermline,3,
Unknown,Jacobites,2,
Unknown,Langton,1,
Unknown,Lord Murray,2,
Unknown,McNaughton,1,
Unknown,Melville,5,
Unknown,Robert Meine,1,
Unknown,Your Grace,1,
Unknown,Unknown,3,
Jacobite,Jacobites,1,
Jacobite,John Drummond,1,
Jacobite Agent,Doctor Fall,1,
James VII,Scottish Subjects,3,
James VII,Dundee,2,
James VII,Breadalbane,1,
James VII,Jacobites,6,
A. Gordon,Aeneas Macpherson,1,
A. Kennedy,Canon,1,
Adam Blair,Mr. Graham,1,
Alexander Innes,Dunfermline,1,
Alexander Hamilton,Breadalbane,1,
Alexander Johnstone,Annandale,2,
Alexander McDonald,Alexander Campbell of Barcardine,1,
Alexander McDonald,Glengarry,1,
Alexander McDowall,Canon,5,
Alexander McDowall,Dunfermline,1,
Alexander McDowall,Aeneas Macpherson,1,
Alexander McDowall,"John McNaughton, Sheriff Depute Argyll",1,
Alexander McDowall,Unknown,1,
Alexander McLean,McNaughton,1,
Alexander McLean,Melfort,1,
Alexander McLean,Countess Antrim,1,
Alexander McLean,Canon,3,
All. MacLaine,J. Macleane,1,
Allan McDonald,Canon,1,
Ann Bell,Breadalbane,1,
Annandale,Perth,1,
Archbishop of St. Andrews,Breadalbane,1,
Archibald Campbell,Breadalbane,1,
Archibald Sinclair,Annandale,1,
Argyll,Breadalbane,2,
Argyll,Dugal Campbell of Melfort,1,
Argyll,Lord Neill Campbell,1,
Arthur Forbes of Brux,Mar,1,
Atholl ,Breadalbane,1,
Balcarres,Anderson,1,
Balcarres,Breadalbane,1,
Balcarres,Unknown,1,
Breadalbane,Clerk of Commissioners of Supply of Perthshire; Sheriff Depute,1,
Breadalbane,Perth,1,
Breadalbane,Carwhin,89,
Breadalbane,"William Campbell, sheriff clerk of Caithness",1,
Breadalbane,Atholl,1,
Breadalbane,Major General Buchan,1,
Breadalbane,Unknown,1,
Breadalbane,Alexander Campbell of Barcaldine,6,
Breadalbane,Captain Straton,1,
Breadalbane,Mr. Dougall Londsay,1,
Breadalbane,Callum McIntyre,1,
Breadalbane,Countess Caithness,2,
Breadalbane,Duncan Campbell,7,
Breadalbane,Mr. Hamilton,3,
Breadalbane,Mrs Campbell,2,
Breadalbane,Mr. Hamilton,1,
Breadalbane,Glenorchy,1,
