From Type,From Place,From Name,Edge Type,To Type,To Place,To Name,Date,Weight,Identifier,
Person,Edinburgh,Unknown,WROTE LETTER TO,Person,,Dunfermline,"1689, Jan 20",1,GD26/8/1,
Person,Elgin,Robert Gordon,WROTE LETTER TO,Person,,Countess Dunfermline,"1689, Feb 2",1,GD26/8/2,
Person,Edinburgh,Alexander Innes,WROTE LETTER TO,Person,,Dunfermline,"1689, Feb 14",1,GD26/8/3,
Person,Unknown,David Burnet,WROTE LETTER TO,Person,,Dunfermline,"1689, Feb 19",1,GD26/8/4,
Person,Fyvie,G. Gordon,WROTE LETTER TO,Person,,Dunfermline,"1689, Mar 23",1,GD26/8/5,
Person,Dublin,King James,Proclamation,Group,,Subjects,"1689, Apr 1",1,GD26/8/6,
Person,Edinburgh,Charles Oliphant,WROTE LETTER TO,Person,,Dunfermline,"1689, Apr 8",1,GD26/8/7,
Person,Aberdeen,George Milne,WROTE LETTER TO,Person,,Unknown,"1689, Apr 13",1,GD26/8/8,
Person,Fyvie,Lady Dunfermline,WROTE LETTER TO,Person,,Dunfermline,"1689, Apr 20",1,GD26/8/9,
Person,Fyvie,Lady Dunfermline,WROTE LETTER TO,Person,,Dunfermline,"1689, Apr 23",1,GD26/8/10,
Person,Fyvie,Lady Dunfermline,WROTE LETTER TO,Person,,Dunfermline,"1689, Apr 28",1,GD26/8/11,
Person,Unknown,Unknown,WROTE LETTER TO,Person,,Unknown,"1689, May 2",1,GD26/8/12,
Person,Castle Grant,Janet Brodie,WROTE LETTER TO,Person,,Alexander Chisholm,"1689, May 3",1,GD26/8/13,
Person,Dublin,King James,Proclamation,Organization,,Parliament,"1689, May 4",1,GD26/8/14,
Person,Dublin Castle,King James,WROTE LETTER TO,Person,,Dundee,"1689, May 17",1,GD26/8/15,
Person,Chilham Castle,Viscount Massereene,WROTE LETTER TO,Person,"Wellbrook, County Tyrone",John How,"1689, May 31",1,GD26/8/16,
Person,Unknown,J. Hay,WROTE LETTER TO,Person,,Melville,"1689, Jun 1",1,GD26/8/17,
Person,Edinburgh,Unknown,Information,Person,,Unknown,"1690, Jun 11",1,GD26/8/18,
Person,Unknown,"McNaughton, younger",WROTE LETTER TO,Person,,Mrs. McNaughton,"1689, Jun 25",1,GD26/8/19,
Person,Lochaber,Alexander McLean,WROTE LETTER TO,Person,,McNaughton,"1689, Jun 27",1,GD26/8/20,
Person,Inverary,Lt. Col. James Auchenbruc,Warrant,Person,,Lt. Colin Fairfull,"1689, Jul 5",1,GD26/8/21,
Person,Inverary,Lt. Col. James Auchenbruc,Warrant,Person,,Lt. Colin Fairfull,"1689, Jul 5",1,GD26/8/22,
Person,Fyvie,Countess of Dunfermline,WROTE LETTER TO,Person,,Dunfermline,"1689, Jul 18",1,GD26/8/23,
Person,London,Adam Blair,WROTE LETTER TO,Person,Edinburgh,Mr. Graham,"1689, Jul 23",1,GD26/8/24,
Person,Blair Atholl,Alexander Stewart,WROTE LETTER TO,Person,,Lt. General of H.M. Forces in Scotland,"1689, Jul 31",1,GD26/8/25,
Person,Castle Kilchurn,I. Campbell,WROTE LETTER TO,Person,,Her husband*,"1689, Aug 5",1,GD26/8/26,
Group,Unknown,Lord Strathallan; Perth,Examination,Person,,Colin Campbell,"1689, Aug 6",1,GD26/8/27,
