From Type,From Name,From Place,Edge Type,To Type,To Name,To Place,Date,Weight,Identifier,Reference
Person,Hampton Court,King William,Instructions,London,Person,Melville ,3/7/1689,1,Leven & Melville Papers,
Person,Hampton Court,King William,Instructions,London,Organization,Convention of Estates,3/7/1689,1,Leven & Melville Papers,
Person,London,James Dalrymple,Wrote Letter to,London,Person,Melville ,3/23/1689,1,Leven & Melville Papers,
Person,London,James Dalrymple,Wrote Letter to,London,Person,Melville ,3/27/1689,1,Leven & Melville Papers,
Person,London,James Dalrymple,Wrote Letter to,London,Person,Melville ,3/30/1689,1,Leven & Melville Papers,
Person,Hampton Court,Portland,Wrote Letter to,London,Person,Melville ,4/1/1689,1,Leven & Melville Papers,
Person,Ham,James Dalrymple,Wrote Letter to,London,Person,Melville ,4/5/1689,1,Leven & Melville Papers,
Person,Ham,James Dalrymple,Wrote Letter to,London,Person,Melville ,4/9/1689,1,Leven & Melville Papers,
Person,London,James Dalrymple,Wrote Letter to,London,Person,Melville ,4/11/1689,1,Leven & Melville Papers,
Person,Edinburgh,Queensberry,Wrote Letter to,Hampton Court,Person,King William ,4/13/1689,1,Leven & Melville Papers,
Person,Edinburgh,Atholl,Wrote Letter to,Hampton Court,Person,King William,4/13/1689,1,Leven & Melville Papers,
Person,Keeth,Dundee,Wrote Letter to,Unknown,Person,James Murray,4/21/1689,1,Leven & Melville Papers,
Person,Hampton Court,James Dalrymple,Wrote Letter to,London,Person,Melville ,4/21/1689,1,Leven & Melville Papers,
Person,Hampton Court,King William,Exoneration,London,Person,Melville ,4/25/1689,1,Leven & Melville Papers,
Person,Whitehall,Portland,Wrote Letter to,Unknown,Person,Mackay,Unknown (between April 25-30),1,Leven & Melville Papers,
Person,Edinburgh,Hamilton,Wrote Letter to,Hampton Court,Person,King William ,4/30/1689,1,Leven & Melville Papers,
Person,London,Melville,Wrote Letter to,Holyrood House,Person,Hamilton ,5/15/1689,1,Leven & Melville Papers,
Person,Alloa,Mar,Wrote Letter to,London,Person,Melville ,5/18/1689,1,Leven & Melville Papers,
Person,Holyrood House,Hamilton,Wrote Letter to,London,Person,Melville ,5/20/1689,1,Leven & Melville Papers,
Person,Holyrood House,Hamilton,Wrote Letter to,London,Person,Melville ,5/21/1689,1,Leven & Melville Papers,
Person,Edinburgh,Atholl,Opinion,London,Person,Melville ,5/21/1689,1,Leven & Melville Papers,
Person,Edinburgh,Crawford,Wrote Letter to,London,Person,Melville ,5/23/1689,1,Leven & Melville Papers,
Person,Edinburgh,James Stewart,Wrote Letter to,London,Person,Melville ,5/24/1689,1,Leven & Melville Papers,
Person,Edinburgh,James Stewart,Wrote Letter to,London,Person,Melville ,5/24/1689,1,Leven & Melville Papers,
Person,Holyrood House,Hamilton,Wrote Letter to,Hampton Court,Person,King William ,5/25/1689,1,Leven & Melville Papers,
Person,Holyrood House,Hamilton,Wrote Letter to,London,Person,Melville ,5/25/1689,1,Leven & Melville Papers,
Person,London,Melville,Wrote Letter to,Holyrood House,Person,Hamilton ,5/27/1689,1,Leven & Melville Papers,
Person,Edinburgh,Polwarth,Wrote Letter to,London,Person,Melville ,5/27/1689,1,Leven & Melville Papers,
Person,Edinburgh,Crawford,Wrote Letter to,London,Person,Melville ,5/28/1689,1,Leven & Melville Papers,
Person,Edinburgh,Hamilton,Wrote Letter to,London,Person,Melville ,5/30/1689,1,Leven & Melville Papers,
Person,Knaresborough,Mackenzie,Wrote Letter to,London,Person,Melville ,5/31/1689,1,Leven & Melville Papers,
Person,London,Melville,Wrote Letter to,Edinburgh,Person,Crawford,5/31/1689,1,Leven & Melville Papers,
Person,Holyrood House,Hamilton,Wrote Letter to,London,Person,Melville ,6/1/1689,1,Leven & Melville Papers,
Person,Edinburgh,Polwarth,Wrote Letter to,London,Person,Melville ,6/1/1689,1,Leven & Melville Papers,
Person,Tarbat House,Viscount Tarbat,Wrote Letter to,London,Person,Melville ,6/1/1689,1,Leven & Melville Papers,
Person,Tarbat House,Viscount Tarbat,Wrote Letter to,London,Person,Melville ,6/1/1689,1,Leven & Melville Papers,
Person,Holyrood House,Hamilton,Wrote Letter to,London,Person,Melville ,6/4/1689,1,Leven & Melville Papers,
