From Type,From Name,Edge Type,To Type,To Name,Weight
Person,King William,Instructions,Person,Melville,1
Person,King William,Instructions,Organization,Convention of Estates,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Queensberry,Wrote Letter to,Person,King William,1
Person,Atholl,Wrote Letter to,Person,King William,1
Person,Dundee,Wrote Letter to,Person,James Murray,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,King William,Exoneration,Person,Melville,1
Person,Portland,Wrote Letter to,Person,Mackay,1
Person,Hamilton,Wrote Letter to,Person,King William,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,Mar,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Atholl,Opinion,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,James Stewart,Wrote Letter to,Person,Melville,1
Person,James Stewart,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,King William,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Mackenzie,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Crawford,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Hay of Park,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lady Auchinbreck,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Atholl,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lord James Murray,Wrote Letter to,Person,Dundee,1
Person,David Nairne,Wrote Letter to,Person,Leven,1
Person,Melville,Wrote Letter to,Person,Polwarth,1
Person,Melville,Wrote Letter to,Person,Colonel Balfour,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Marquis of Atholl,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Eglington,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,David Nairne,Wrote Letter to,Person,Leven,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Belhaven,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Kennedy of Cloburne,Wrote Letter to,Person,William Denham of Westshield,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lady Polwarth,Wrote Letter to,Person,Melville,1
Person,Lady Polwarth,Wrote Letter to,Person,Melville,1
Person,Hay of Park,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lothian,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Group,"Anderson of Dowhill, Spruell",Wrote Letter to,Person,Melville,1
Person,Argyll,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Atholl,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Balcarres,Wrote Letter to,Person,Melville,1
Person,Ross,Wrote Letter to,Person,Melville,1
Person,Ross,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Mackenzie,Wrote Letter to,Person,Melville,1
Person,Baird of Newbyth,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Wrote Letter to,Person,Melville,1
Person,Viscount Tarbat,Memorial,Organization,Church of Scotland,1
Person,Melville,Wrote Letter to,Person,Earl Crawford,1
Person,Mackenzie,Wrote Letter to,Person,Melville,1
Person,Mackenzie,Wrote Letter to,Person,James Melville,1
Person,Elliot,Wrote Letter to,Person,Melville,1
Person,Unknown,Memorial,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Eglington,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Countess Balcarres,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Blantyre,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Argyll,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Elliot,Wrote Letter to,Person,Melville,1
Person,James Steuart,Wrote Letter to,Person,William Denham of Westshield,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,James Steuart,Wrote Letter to,Person,William Denham of Westshield,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Stewart of Coltness,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Philliphaugh,Wrote Letter to,Person,Sir William Anstruther,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Group,Captain Johnston and Officers,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Countess Mar,Wrote Letter to,Person,Queen Mary,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Skelmorlie,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hay of Park,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Crawford,1
Person,Melville,Wrote Letter to,Person,Skelmorlie,1
Person,Hay of Park,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Elliot,Wrote Letter to,Person,Melville,1
Person,King William,Draft Letter,Organization,Council in relation to Ministers,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lord John Murray,Letter Packet,Person,Melville,1
Person,Dundee,Wrote Letter to,Person,Lord Murray,1
Person,Dundee,Wrote Letter to,Person,Lord Murray,1
Person,Dundee,Wrote Letter to,Person,Lord Murray,1
Person,Hamilton,Wrote Letter to,Person,King William,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Group,Officers of Dumbarton's Regiment,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Adam Blair,Intercepted Letter,Person,Mr. Graham,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Anderson of Dowhill,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,Melville,Wrote Letter to,Person,Mackay,1
Person,Melville,Wrote Letter to,Person,Cassillis,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Cunningham,Wrote Letter to,Person,Cardross,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Melville,Wrote Letter to,Person,Hamilton,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,John Law,Wrote Letter to,Person,Andrew Kennedy of Cloburne,1
Group,"Hall, Convention of Royal Burghs",Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Hamilton,Wrote Letter to,Person,Melville,1
Person,Lothian,Wrote Letter to,Person,Melville,1
Person,John Dalrymple,Wrote Letter to,Person,Melville,1
Person,Alexander Pitcairn,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lothian,Wrote Letter to,Person,Melville,1
Person,Polwarth,Wrote Letter to,Person,King William,1
Person,Polwarth,Wrote Letter to,Person,Melville,1
Organization,Privy Council,Wrote Letter to,Person,Melville,1
Person,David Nairne,Wrote Letter to,Person,Leven,1
Person,Mackay,Order,Group,Heritors in Atholl,1
Person,Blackbarrony,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Elliot,Wrote Letter to,Person,Melville,1
Person,Douglas,Wrote Letter to,Person,Melville,1
Person,Eglinton,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Dunbar of Grange,Wrote Letter to,Person,Melville,1
Person,Buchan,Wrote Letter to,Person,David Nairne,1
Person,Swinton,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Livingston of Kilsyth,Wrote Letter to,Person,Melville,1
Person,Patrick Murray,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Kintore,Wrote Letter to,Person,Melville,1
Person,Moncrieff,Wrote Letter to,Person,Melville,1
Person,Bruce,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
Person,Linlithgow,Wrote Letter to,Person,Melville,1
Person,Philliphaugh,Wrote Letter to,Person,Melville,1
Person,Philliphaugh,Wrote Letter to,Person,Melville,1
Person,Walter Corbets,Order,Place,Blair Castle,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Organization,Magistrates of Edinburgh,Wrote Letter to,Person,Melville,1
Person,Lundy,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Hall,Wrote Letter to,Person,Melville,1
Person,Schomberg,Wrote Letter to,Person,Leven,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Lockhart,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Unknown,1
Person,Anstruther,Wrote Letter to,Person,Melville,1
Person,Anstruther,Wrote Letter to,Person,Annandale,1
Person,Melville,Wrote Letter to,Person,Crawford,1
Person,Melville,Commissions,Person,Crawford,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Crawford,Wrote Letter to,Person,Melville,1
Person,Hamilton,Considerations,Person,King William,1
Person,Melville,Wrote Letter to,Group,Presbyterian Ministers,1
Person,Falconar of Phesdo,Wrote Letter to,Person,Melville,1
Person,James Dalrymple,Wrote Letter to,Person,Melville,1
Person,Cardross,Wrote Letter to,Person,Melville,1
