ID_Letter,KEYWORDS 1,KEYWORDS 2,KEYWORDS 3,KEYWORDS 4,KEYWORDS 5,KEYWORDS 6
1,war,castles,invasion,religion,,
2,war,Scotland,presbyterian,safety,,
3,money,Ireland,invasion,Convention,Scotland,
4,Ireland,invasion,Scotland,Derry,church,
5,danger,settlement,Scotland,Ross,,
6,church,Scotland,hazard,coast,,
7,Scotland,Ireland,Derry,church,,
8,Irish,Scots,Mackay,invasion,churchmen,
9,coronation,Scotland,Ireland,invasion,allegiance,
10,Convention,Protestant,Crown,security,,
11,Protestant,religion,petition of right,justice,,
12,Major Graham,,,,,
13,Portland,Mackay,royal proclamation,,,
14,Scotland,Convention,highlanders,Mackay,Ireland,
15,Scotland,Argyll,Londonderry,Ireland,,
16,Estates,parliament,peace,,,
17,secretary,Portsmouth,Convention,Scotland,informer,
18,service,interest,Portland,Kin,Court,
19,Perth,Ireland,Scotland,Dundee,Mackay,
20,Privy Council,Great Seal,parliament,,,
21,distracted kingdom,solicit,friendship,,,
22,public interest,friendship,honor,,,
23,Presbyterians,King's interest,Tarbat,Ireland,,
24,God,King,mistakes,friendship,,
25,Privy Council,Estates,parliament,divisions,,
26,Dundee,Mackay,regiments,mistakes,,
27,Estates ajourned,King's service,,,,
28,country,debate,strife,Dukes,,
29,public interest,God,friendship,,,
30,magazines,powder,arms,,,
31,parliament,bigotry,Tarbat,Scotland,King,
32,honor,interest,nation,,,
33,securing the nation,Tarbat,Mackay,,,
34,friendship,reputation,honesty,God,,
35,enemies,ecclesiastics,Scotland,highlanders,,
36,Mackay,Highlanders,Scotland,security,invasion,rebellion
37,nominations,council,commissioners,Dundee,Mackay,
38,weakness,grateful,appointment,,,
39,Tarbat,military affairs,oppressions,,,
40,Lockhart,favor,friendship,security,,
41,Great Seall,Estates,parliament,,,
42,husband,condition,mercy,Argyll,,
43,Estates,Scotland,Claim of Right,,,
44,Schomberg,Mackay,war,King,service,
45,Mackay,Ireland,intelligence,French fleet,Dundee,
46,health,service,Scotland,,,
47,safety,parliament,issues,,,
48,Dundee,brother,prison,,,
49,officiating,King,favor,,,
50,friendship,truth,public,trust,,
51,Edinburgh Castle,Mackay,intelligence,,,
52,Mackay,Edinburgh Castle,Gordon,parliament,,
53,Hamilton,King William,service,,,
54,parliament,allegiance,service,Great Seal,navy,portmaster
55,honor,regiments,station,,,
56,parliament,articles,debate,Lord Stair,,
57,articles,Club,King,prerogative,,
58,Mackay,Ireland,France,,,
59,Castle,parliament,judges,,,
60,articles,allegiance,attendance,Club,,
61,North,Holland,Protestant religion,,,
62,Great Seall,King,prerogative,Skelmorlie,,
63,articles,officers,state,King,prerogative,
64,Kirke,Rooke,Londonderry,service,,
65,service,interest,Lady Hilton,,,
66,Lady Hilton,children,beggars,,,
67,trouble,enemies,honor,,,
68,warfare,affairs,parliament,,,
69,King,service,present,danger,,
70,Hamilton,displeasure,parliament,commissions,,
71,articles,Scotland,Club,Hamilton,presbyterians,
72,Glasgow,public,safety,elections,,
73,brother,revolution,cause,,,
74,grievances,church,government,Secretary,war,
75,articles,parliament,church affairs,,,
76,service,false stories,Protestant religion,,,
77,animosity,parliament,presbytery,presbyterian,crown,
78,imprisonment,Dundee,liberty,prison,,
79,crown,Dalrymple,committees,parliament,,
80,articles,Dalrymple,King James,,,
81,Tarbat,offices,state,Lord Stair,positions,
82,church,government,revolution,settlement,,
