ID,Sender,Reciever,From,To,Keywords ,Date
1,King William,Lord Melville ,"51.403332, -0.337500","51.50673486004276, -0.12083646321188168","Instructions, war","March 7, 1689"
2,King William,Convention,"51.403332, -0.337500","51.50673486004276, -0.12083646321188168","Instructions, war","March 7, 1689"
3,Sir James Dalrymple of Stair,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168","levy money, Ireland, invasion","March 23, 1689"
4,Sir James Dalrymple of Stair,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168","Ireland, invasion, Scotland, Derry, Church","March 27, 1689"
5,Sir James Dalrymple of Stair,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168","settlement, Scotland","March 30, 1689"
6,Earl of Portland ,Lord Melville ,"51.403332, -0.337500","51.50673486004276, -0.12083646321188168","church, Scotland","April 1, 1689"
7,Sir James Dalrymple of Stair,Lord Melville ,"51.36421, -1.52739","51.50673486004276, -0.12083646321188168","Scotland, Ireland, Derry, church, ","April 5, 1689"
8,Sir James Dalrymple of Stair,Lord Melville ,"51.36421, -1.52739","51.50673486004276, -0.12083646321188168","Irish, Scots, MacKay, invasion, constitution, churchmen, consent","April 9, 1689"
9,Sir James Dalrymple of Stair,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168","coronation, Scotland, Ireland, invasion, allegiance","April 11, 1689"
10,Duke of Queensberry ,King William ,"55.948889, -3.190556","51.403332, -0.337500","Protestant interest, Royal interest","April 13, 1689"
11,Marquis of Atholl ,King William,"55.948889, -3.190556","51.403332, -0.337500","Protestant religion, petition of right","April 13, 1689"
12,Viscount Dundee,Lord Murray (uncertain),"57.53633, -2.94811",,Major Graham,"April 21, 1689"
13,Sir James Dalrymple of Stair ,Lord Melville ,"51.403332, -0.337500","51.50673486004276, -0.12083646321188168","Portland, Mackay, royal proclamation","April 21, 1689"
14,King William,Lord Melville ,"51.403332, -0.337500","51.50673486004276, -0.12083646321188168","Scotland, exonerate, Convention, Highlanders, Mackay, Ireland","April 25, 1689"
15,Earl of Portland ,General Mackay (Uncertain),"51.504444, -0.125556",,"Scotland, Argyll, Londonderry, Ireland",Unknown (between April 25-30) 
16,Duke of Hamilton ,King William ,,"51.403332, -0.337500","Estates, Parliament, peace","April 30, 1689"
17,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","secretary, portsmouth, Convention, Scotland, informer","May 15, 1689"
18,Earl of Mar,Lord Melville ,"56.11586, -3.78997","51.50673486004276, -0.12083646321188168","service, interest","May 18, 1689"
19,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Perth, Convention, Ireland, Scotland, information, Dundee, Mackay ","May 20, 1689"
20,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Privy Council, Great Seal, Parliament","May 21, 1689"
21,Marquis of Atholl ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","distracted kingdom, solicit, friendship",5/21/1689
22,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","public interest, friendship, honor","May 23, 1689"
