#Place_ID,PLACE_label,LAT_LON, metadata
1,Hampton Court,"51.403332, -0.337500",https://en.wikipedia.org/wiki/Hampton_Court_Palace
2,London,"51.50673486004276, -0.12083646321188168",https://en.wikipedia.org/wiki/London
3,Ham,"51.36421, -1.52739","https://en.wikipedia.org/wiki/Ham,_London"
4,Edinburgh,"55.948889, -3.190556",https://en.wikipedia.org/wiki/Edinburgh
5,Keeth,"57.53633, -2.94811","https://en.wikipedia.org/wiki/Keith,_Moray"
6,Whitehall ,"51.504444, -0.125556",https://en.wikipedia.org/wiki/Palace_of_Whitehall
7,Alloa,"56.11586, -3.78997",https://en.wikipedia.org/wiki/Alloa
8,Holyrood House ,"55.952499, -3.172500",https://en.wikipedia.org/wiki/Holyrood_Palace
9,Knaresborough,54.0091 -1.46851,https://en.wikipedia.org/wiki/Knaresborough
10,Tarbat House,"57.7354, -4.0677",https://en.wikipedia.org/wiki/Tarbat_House
11,Bath ,"51.380001, -2.360000","https://en.wikipedia.org/wiki/Bath,_Somerset"
12,Fife,"56.249999, -3.1999992",https://en.wikipedia.org/wiki/Fife
13,Atholl,"56.704, -3.794",https://en.wikipedia.org/wiki/Atholl
14,Stroan,"55.98515, -4.89817","https://en.wikipedia.org/wiki/Strone,_Cowal"
15,Knaresborough Wells,"54.0091, -1.46851",https://en.wikipedia.org/wiki/Knaresborough
16,Dundee,"56.462002, -2.970700",https://en.wikipedia.org/wiki/Dundee
17,Falkland,56.249999 -3.1999992,"https://en.wikipedia.org/wiki/Falkland,_Fife"
18,Anstruther,56.22315 -2.70229,https://en.wikipedia.org/wiki/Anstruther
19,Newgate Prison,"51.5094129623, -0.10115126206",https://en.wikipedia.org/wiki/Newgate_Prison
20,Stirling,"56.116600, -3.936900",https://en.wikipedia.org/wiki/Stirling
21,Dundas,"55.971829446, -3.408831698",https://en.wikipedia.org/wiki/Dundas_Castle
22,Bury,"52.2474, 0.7183","https://en.wikipedia.org/wiki/Bury,_Greater_Manchester"
23,Gatehouse,"55.948612, -3.200833",https://canmore.org.uk/site/52083/edinburgh-castle-gate-house
24,"Bothwick's Close, Edinburgh","55.950558, -3.185556",https://www.mdhardingtravelphotography.com/post/2019/09/25/edinburghs-old-town-close
25,Westminster,"51.499390, -0.127465",https://en.wikipedia.org/wiki/Westminster
26,Carrick,"56.1052079125, -4.9022880575","https://en.wikipedia.org/wiki/Carrick,_Scotland"
27,Glasgow,"55.860916, -4.251433",https://en.wikipedia.org/wiki/Glasgow
