From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference,
Person,James Denholm,Letter,Person,Leven,"1689, May 23",1,GD26/9/2,
Person,Leven,Notebook,Person,Melville,c. 1689 June,1,GD26/9/3,
Person,Leven,Inquiry,Person,Lt. Waddell,"1689, Oct 11",4,GD26/9/4,
Person,Leven,Contract,Person,Patrick Chalmers,"1689, Dec 19",1,GD26/9/5,
Person,Charles Erskine,Letter,Person,Leven,c. 1689,2,GD26/9/7,
Person,David Nairne,Letter,Person,Leven,1689-1695,107,GD26/9/12,
Person,Leven,Agreement,Group,Lt. Colonel; Major; Captains,"1691, Jun 4",1,GD26/9/17,
Person,Lt. Col. W. Arnott,Letter,Person,Scrimgeour,1691-1692,20,GD26/9/20,
Person,William Blathwayt,Order,Person,Leven,"1692, Feb 16",1,GD26/9/21,Blathwayt - secretary of war
Person,Leven,Letter,Person,Countess of Leven,c. 1692,22,GD26/9/23,
Person,Scrimgeour,Letter,Person,Leven,c. 1692,32,GD26/9/24,
Person,William Maxwell,Letter,Person,Countess of Leven,1691-1702,64,GD26/9/26,
Person,John Lanier,Letter,Person,King William,"1689, Sep 10",1,GD26/9/41,
Person,King William,Warrant,Person,Leven,"1690, Dec 30",2,GD26/9/45,
Person,George Caldcleuch,Declaration,Person,Leven,"1691, Mar 9",1,GD26/9/47,
Person,John Slezer,Letter,Person,Melville,"1691, Apr 21",1,GD26/9/48,
Person,Charles Erskine,Letter,Person,Melville,"1689, Jun 15",1,GD26/9/104,
Person,John McDougall,Letter,Person,Mackay,"1689, Aug 8",1,GD26/9/105,
Person,John Dalrymple,Letter,Person,Melville,Nov 1689,1,GD26/9/106,
Person,Charles Erskine,Memorandum,Person,Melville,c. 1689,1,GD26/9/107,
Person,George Munro,Letter,Person,Melville,"1690, Jan 18",1,GD26/9/108,
Person,Melville,Warrant,Group,Patrick Murray of Salcoats; James Oswald of Fingleton,"1690, Nov 18",1,GD26/9/109,
Person,Theodore Durie,Report,Person,Melville,"1690, Dec 30",1,GD26/9/111,
Person,Colonel John Wauchope,Commission,Person,John Brown,1688,1,GD26/9/167,
Person,"William, Viscount Montgomery",Commission,Person,William Fraser,"1688, Sep 28",1,GD26/9/168,
Person,Sir John McLean,Commission,Person,Allan McLean,"1689, Mar 31",1,GD26/9/169,
Person,Colonel Alexander Canon,Commission,Group,"Farmer, William Fraser, Renold Graham, James McCulloch, Thomas Stitchel","1689, May 17",1,GD26/9/170,
Person,Colonel John Wauchope,Commission,Person,John Scratcher,"1689, May 17",1,GD26/9/171,
Person,Colonel John Wauchope,Commission,Person,John Scratcher,"1689, May 17",1,GD26/9/172,
Person,Colonel Thomas Buchan,Commission,Person,James Buchan,"1689, May 17",1,GD26/9/173,
Person,King William,Commission,Person,Leven,"1689, June 20",1,GD26/9/174,
Person,King William,Commission,Person,Leven,"1689, July 4",1,GD26/9/175,
Person,King William,Commission,Person,John Knox,"1689, August 15",1,GD26/9/176,
Person,King William,Commission,Person,Leven,"1689, August 23",1,GD26/9/177,
Person,King William,Commission,Person,Robert Nairne,"1689, August 29",1,GD26/9/178,
Person,King William,Commission,Person,William Arrat,"1689, September 17",1,GD26/9/179,
Person,King William,Commission,Person,Nathaniel Staffny,"1689, December 18",1,GD26/9/180,
Person,King William,Commission,Person,Edward Murray,"1690, January 9",1,GD26/9/181,
Person,King William,Commission,Person,Alexander Arnott,"1690, Feb 1",1,GD26/9/182,
Person,King William,Commission,Person,Lord Yester,"1690, May 1",1,GD26/9/183,
Person,King William,Commission,Person,Mar,"1690, June 3",1,GD26/9/184,
Person,King William,Commission,Person,Robert Drummond,"1690, December 27",1,GD26/9/185,
Person,King William,Commission,Person,James Murray,"1690, December 30",1,GD26/9/186,
Person,King William,Commission,Person,George Wishart,"1690, Dec 30",1,GD26/9/187,
Person,King William,Commission,Person,Alexander Ross,"1690, Dec 30",1,GD26/9/188,
Person,Lord Blantyre,Letter,Person,Lord Mersington,"1689, Apr 18",1,GD26/9/216,
Person,Melfort,Pass,Person,Cap. James Boughen,"1689, June 2",1,GD26/9/217,
Person,George Wishart,Letter,Person,Melville,"1689, June 28",1,GD26/9/219,
Person,Thomas Stewart,Letter,Person,Melville,"1689, June",1,GD26/9/220,
Person,Eglinton,Letter,Person,Melville,"1689, Jul 4",1,GD26/9/221,
Person,E. Wilson,Letter,Person,Hamilton,"1689, Jul 7",1,GD26/9/222,
Person,King William,Letter,Group,Leven; Mackay,"1689, Jul 10",1,GD26/9/223,
Group,Officers and Sergeants of Cardross,Letter,Person,Cardross,"1689, Jul 22",1,GD26/9/224,
Person,Samuel Veitch,Letter,Person,Cardross,"1689, Jul 27",1,GD26/9/225,
Person,Lord Kenmure,Letter,Person,Melville,"1689, Aug 20",1,GD26/9/226,
Person,William Lawrie,Letter,Person,Melville,"1689, Aug 20",1,GD26/9/227,
Person,William Muir,Letter,Person,Cardross,"1689, Aug 22",1,GD26/9/228,
Person,Cardross,Letter,Person,Melville,"1689, Aug 25",1,GD26/9/229,
Person,Lieu. Col. John Buchan,Letter,Person,Melville,"1689, Aug 26",1,GD26/9/230,
Person,Crawford,Letter,Person,Cardross,"1689, Aug 30",1,GD26/9/231,
Person,Cardross,Letter,Person,Melville,"1689, Aug 31",1,GD26/9/232,
Person,H. Fletcher,Letter,Person,Melville,"1689, Sep 5",1,GD26/9/233,
Person,John Hay,Letter,Person,Canon,"1689, Sep 19",1,GD26/9/235,prisoner exchange
Person,James Coutts,Letter,Person,Robert Coutts,"1689, Sep 23",1,GD26/9/236,prisoner exchange
Person,Lt. Col. John Fullerton,Letter,Person,Melville,"1689, Nov 13",1,GD26/9/237,
Person,Alexander Hope,Letter,Person,Cardross,"1689, Nov 16",1,GD26/9/238,
Person,Major-General Munro,Letter,Person,Melville,1689,3,GD26/9/240,
Person,Captain Young,Letter,Person,Colonel Balfour,1689,1,GD26/9/241,Jacobites in Kintyre
Person,"John, Earl of Carnwarth",Petition,Person,King William,1689,1,GD26/9/242,
Person,Lt. Col. Munro,Memorandum,Person,Melville,1689,1,GD26/9/243,
Person,James Carneigie,Letter,Person,Melville,1689,1,GD26/9/245,
Person,David Ramsay,Petition,Person,Melville,1689,1,GD26/9/246,
Person,King William,Memorandum,Person,Melville,1689,1,GD26/9/248,
Person,Erskine Dunn,Letter,Person,Melville,1689,3,GD26/9/249,
Person,Lord Blantyre,Letter,Person,Melville,1689,1,GD26/9/250,
Person,Cardross,Letter,Person,Melville,"1689, Aug",1,GD26/9/251,
Group,Officers and Soldiers of Lord Angus,Address,Person,Mackay,1689,1,GD26/9/254,
Person,Thomas Livingston,Letter,Person,Mackay,1689-1690,3,GD26/9/255,
Person,Lt. Col. William Cleland,Letter,Person,Melville,1689,3,GD26/9/256,
Person,Countess Mar,Letter,Person,Leven,1689,1,GD26/9/260,
Person,Countess Mar,Letter,Person,John Dalrymple,1689,1,GD26/9/260,
Person,Charles Gordon,Letter,Person,Melville,"1690, Jan 3",1,GD26/9/262,
Person,John Buchan,Letter,Person,Laird Binning,"1690, Jan 21",1,GD26/9/263,
Person,Countess Rothes,Letter,Person,Melville,"1690, Feb 10",1,GD26/9/265,
Organization,Lords of Treasury,Warrant,Person,James Oswald of Fingleton,"1690, Feb 26",1,GD26/9/266,
Person,E. Wilson,Letter,Person,Melville,"1690, Feb 28",1,GD26/9/267,Asking to be exchanged
Person,John Buchan,Letter,Person,Melville,"1690, Apr 10",1,GD26/9/270,Jacobite rising Aberdeen
Person,James Douglas,Letter,Person,Leven,"1690, Apr 23",1,GD26/9/271,
