From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Unknown,WROTE LETTER TO,Person,Dunfermline,"1689, Jan 20",,GD26/8/1
Person,Robert Gordon,WROTE LETTER TO,Person,Countess Dunfermline,"1689, Feb 2",,GD26/8/2
Person,Alexander Innes,WROTE LETTER TO,Person,Dunfermline,"1689, Feb 14",,GD26/8/3
Person,David Burnet,WROTE LETTER TO,Person,Dunfermline,"1689, Feb 19",,GD26/8/4
Person,G. Gordon,WROTE LETTER TO,Person,Dunfermline,"1689, Mar 23",,GD26/8/5
Person,King James,Proclamation,Group,Subjects,"1689, Apr 1",,GD26/8/6
Person,Charles Oliphant,WROTE LETTER TO,Person,Dunfermline,"1689, Apr 8",,GD26/8/7
Person,George Milne,WROTE LETTER TO,Person,Unknown,"1689, Apr 13",,GD26/8/8
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Apr 20",,GD26/8/9
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Apr 23",,GD26/8/10
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Apr 28",,GD26/8/11
Person,Unknown,WROTE LETTER TO,Person,Unknown,"1689, May 2",,GD26/8/12
Person,Janet Brodie,WROTE LETTER TO,Person,Alexander Chisholm,"1689, May 3",,GD26/8/13
Person,King James,Proclamation,Organization,Parliament,"1689, May 4",,GD26/8/14
Person,King James,WROTE LETTER TO,Person,Dundee,"1689, May 17",,GD26/8/15
Person,Viscount Massereene,WROTE LETTER TO,Person,John How,"1689, May 31",,GD26/8/16
Person,J. Hay,WROTE LETTER TO,Person,Melville,"1689, Jun 1",,GD26/8/17
Person,Unknown,Information,Person,Unknown,"1690, Jun 11",,GD26/8/18
Person,"McNaughton, younger",WROTE LETTER TO,Person,Mrs. McNaughton,"1689, Jun 25",,GD26/8/19
Person,Alexander McLean,WROTE LETTER TO,Person,McNaughton,"1689, Jun 27",,GD26/8/20
Person,Lt. Col. James Auchenbruc,Warrant,Person,Lt. Colin Fairfull,"1689, Jul 5",,GD26/8/21
Person,Lt. Col. James Auchenbruc,Warrant,Person,Lt. Colin Fairfull,"1689, Jul 5",,GD26/8/22
Person,Countess of Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Jul 18",,GD26/8/23
Person,Adam Blair,WROTE LETTER TO,Person,Mr. Graham,"1689, Jul 23",,GD26/8/24
Person,Alexander Stewart,WROTE LETTER TO,Person,Lt. General of H.M. Forces in Scotland,"1689, Jul 31",,GD26/8/25
Person,I. Campbell,WROTE LETTER TO,Person,Her husband*,"1689, Aug 5",,GD26/8/26
Group,Lord Strathallan; Perth,Examination,Person,Colin Campbell,"1689, Aug 6",,GD26/8/27
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Aug 10",,GD26/8/28
Person,Unknown,Report,Person,Unknown,"1689, Aug 22",,GD26/8/29
Group,"Lord James Murray; Patrick Stewart; John McLean; Donald Mcdonald; Ewan Cameron; Laird Glengarry; Laird Beanbecula; Alexander McLean; Laird Appin; Laird Inveraray; Laird Crathie & Braemar; Laird Keppoch; Laird Struan; Laird Callachilly; Lt. Col. McGregor Barn, Laird McNaughton",Agreement,Group,"Lord James Murray; Patrick Stewart; John McLean; Donald Mcdonald; Ewan Cameron; Laird Glengarry; Laird Beanbecula; Alexander McLean; Laird Appin; Laird Inveraray; Laird Crathie & Braemar; Laird Keppoch; Laird Struan; Laird Callachilly; Lt. Col. McGregor Barn, Laird McNaughton","1689, Aug 24",,GD26/8/30
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Aug 24",,GD26/8/31
Person,James Hamilton,WROTE LETTER TO,Person,Unknown,"1689, Aug 24",,GD26/8/32
Person,Lady Dunfermline,WROTE LETTER TO,Person,Dunfermline,"1689, Aug 27",,GD26/8/33
Person,Gibert Elliot,WROTE LETTER TO,Person,Unknown,"1689, Aug 27",,GD26/8/34
Person,Lord Drummond,WROTE LETTER TO,Person,Unknown,"1689, Aug 29",,GD26/8/35
Person,Colin Mackenzie,WROTE LETTER TO,Person,Melfort,"1689, Aug 29",,GD26/8/36
Person,Colin Mackenzie,WROTE LETTER TO,Person,Seaforth,"1689, Aug 29",,GD26/8/37
Group,Tenants of Cardross,WROTE LETTER TO,Person,Lord Cardross,"1689, Sep 6",,GD26/8/38
Person,McLean,WROTE LETTER TO,Person,Melfort,"1689, Sep 12",,GD26/8/39
Person,McLean,WROTE LETTER TO,Person,Countess Antrim,"1689, Sep 12",,GD26/8/40
Person,David Graham,WROTE LETTER TO,Person,Canon,"1689, Sep 19",,GD26/8/41
Person,McNaughton,WROTE LETTER TO,Person,Cornet James Crawford,"1689, Sep 19",,GD26/8/42
Person,Unknown,WROTE LETTER TO,Person,Dunfermline,"1689, Sep 24",,GD26/8/43
Person,Alexander McDowall,WROTE LETTER TO,Person,John McNaughton,"1689, Sep",,GD26/8/44
Person,Hugh Campbell of Cawdor,Pass,Person,Alexander Kennedy,"1689, Oct 3",,GD26/8/45
Group,Highland Chieftains,Declaration,Person,King James ,"1689, Oct 3",,GD26/8/46
Person,David Graham,WROTE LETTER TO,Person,Canon,"1689, Oct 12",,GD26/8/47
Group,James Fountain; William Douglas,WROTE LETTER TO,Person,Canon,"1689, Oct 12",,GD26/8/48
Person,Thomas Bass,WROTE LETTER TO,Person,Unknown,"1689, Oct 15",,GD26/8/49
Person,Peter McCulloch,WROTE LETTER TO,Person,John McCulloch,"1689, Oct 18",,GD26/8/50
Person,McLean,WROTE LETTER TO,Person,Canon,"1689, Oct 29",,GD26/8/51
Person,David Graham,WROTE LETTER TO,Person,Canon,"1689, Oct 30",,GD26/8/52
Person,James Winchester,WROTE LETTER TO,Person,Dunfermline,"1689, Oct 31",,GD26/8/53
Person,Alexander McDowall,WROTE LETTER TO,Person,Canon,"1689, Nov 11",,GD26/8/54
Person,John Grant ,WROTE LETTER TO,Person,Unknown,"1689, Nov 16",,GD26/8/55
Person,Lindsay,Copy Newsetter,Person,Anderson,"1689, Nov 21",,GD26/8/56
Person,Unknown,WROTE LETTER TO,Person,Langton,1689,2,GD26/8/57
Person,Jacobite Agent,WROTE LETTER TO,Person,Doctor Fall,"1689, Nov 28",,GD26/8/58
Person,Alexander McDowall,WROTE LETTER TO,Person,Unknown,"1689, Dec 2",,GD26/8/59
Person,McDougal of Dunolych,WROTE LETTER TO,Person,Canon,"1689, Dec 3",,GD26/8/60
Person,Alexander McDowall,WROTE LETTER TO,Person,Canon,"1689, Dec 6",,GD26/8/61
Person,L. McGregor,WROTE LETTER TO,Person,Dunfermline,"1689, Dec 16",,GD26/8/62
