From Type,From Name,Edge Type,To Type,To Name,Date,Weight,NRS Reference
Person,Unknown,WROTE LETTER TO,Person,Forfar,"1689, Jan 23",,GD26/13/19
Person,R. Colville,WROTE LETTER TO,Person,Melville,"1689, Jan 25",,GD26/13/20
Person,R. Colville,WROTE LETTER TO,Person,Melville,"1689, Feb 5",,GD26/13/21
Person,Hamilton,WROTE LETTER TO,Person,Bishop of Salisbury,"1689, Jun 11",,GD26/13/22
Person,J. Lockhart,WROTE LETTER TO,Person,Melville,"1689, Jul 30",,GD26/13/23
Person,Cardross,WROTE LETTER TO,Person,Melville,"1689, Jul 30",,GD26/13/24
Person,Unknown,WROTE LETTER TO,Person,Laird of Auchenhive,"1689, Aug 6",,GD26/12/25
Person,M. Erskine,WROTE LETTER TO,Person,Lady Tarbat,"1689, Aug 8",,GD26/13/26
Person,Melville,WROTE LETTER TO,Person,Laird of Westshields,"1689, Aug 13",,GD26/13/27
Person,Unknown,WROTE LETTER TO,Person,Melville,"1689, Oct 15",,GD26/13/28
Person,Crawford,WROTE LETTER TO,Person,Melville,"1689, Oct 19",,GD26/13/29
Person,Crawford,WROTE LETTER TO,Person,Melville,"1689, Nov 12",,GD26/13/30
Person,John MacKenzie,WROTE LETTER TO,Person,Melville,"1689, Nov 14",,GD26/13/31
Person,Crawford,WROTE LETTER TO,Person,Melville,"1689, Nov 19",,GD26/13/32
Person,Melville,WROTE LETTER TO,Person,Samuel Mackay,"1689, Nov 28",,GD26/13/33
Person,Mathew Bridge,WROTE LETTER TO,Person,Melville,"1689, Dec 26",,GD26/13/34
Person,Melville,WROTE LETTER TO,Person,Crawford,c 1689,,GD26/13/37
Person,Melville,WROTE LETTER TO,Person,Hamilton,c 1689,,GD26/13/38
Person,Lord Tarbat,WROTE LETTER TO,Person,Melville,c 1689,,GD26/13/39
Person,Melville,WROTE LETTER TO,Person,MacKay,c 1689,2,GD26/13/40
Person,Ross,WROTE LETTER TO,Person,Cochrane,c 1689,,GD26/13/41
Person,Shrewsbury,WROTE LETTER TO,Person,Melville,c 1689-1690,3,GD26/13/42
Person,David Nairne,WROTE LETTER TO,Person,Melville,1689-1714,119,GD26/13/43
Person,Robert Sinclair,WROTE LETTER TO,Person,Melville,"1690, Jan 3",,GD26/13/44
